,TeamName,Matches,Wins,Loss,Tied,NoResult,Points,Draw,ForTeams,AgainstTeam,NetRunRate,IsQualified,Performance,Standings,Year
0,Rajasthan Royals,14,11,3,0,0,22,0,2245/261.1,2153/270.2,0.632,1.0,LWWWW,1,2008
1,Punjab Kings,14,10,4,0,0,20,0,2352/259.5,2271/265.5,0.509,1.0,WLWWW,2,2008
2,Chennai Super Kings,14,8,6,0,0,16,0,2241/264.2,2195/253.1,-0.192,1.0,WLLWL,3,2008
3,Delhi Capitals,14,7,6,0,1,15,0,2001/233.2,2031/246.4,0.342,1.0,WNWLW,4,2008
4,Mumbai Indians,14,7,7,0,0,14,0,2080/249.1,2096/269.3,0.57,0.0,WLLLW,5,2008
5,Kolkata Knight Riders,14,6,7,0,1,13,0,1845/242.4,1718/221.4,-0.147,0.0,WNLLL,6,2008
6,Royal Challengers Bangalore,14,4,10,0,0,8,0,1983/272.4,2205/261.3,-1.16,0.0,LWWLL,7,2008
7,Deccan Chargers,14,2,12,0,0,4,0,2229/270,2307/264.3,-0.467,0.0,LLLLL,8,2008
8,Delhi Capitals,14,10,4,0,0,20,0,1978/255.2,1953/262.4,0.311,1.0,WLWLW,1,2009
9,Chennai Super Kings,14,8,5,0,1,17,0,2086/255.3,1855/257.1,0.951,1.0,WLWLW,2,2009
10,Royal Challengers Bangalore,14,8,6,0,0,16,0,1994/276,2027/273.2,-0.191,1.0,WWWWL,3,2009
11,Deccan Chargers,14,7,7,0,0,14,0,2111/272.4,2097/278.1,0.203,1.0,LLWLW,4,2009
12,Punjab Kings,14,7,7,0,0,14,0,1787/251.2,1887/248.3,-0.483,0.0,LWWLW,5,2009
13,Rajasthan Royals,14,6,7,0,1,13,0,1688/253.1,1810/257.5,-0.352,0.0,LLWLL,6,2009
14,Mumbai Indians,14,5,8,0,1,11,0,1897/256.2,1802/253.4,0.297,0.0,LLLWW,7,2009
15,Kolkata Knight Riders,14,3,10,0,1,7,0,1757/248.5,1867/237.5,-0.789,0.0,WWLLL,8,2009
16,Mumbai Indians,14,10,4,0,0,20,0,2408/277,2100/276,1.084,1.0,LWWWL,1,2010
17,Deccan Chargers,14,8,6,0,0,16,0,2188/277.4,2254/275.4,-0.297,1.0,WWWWW,2,2010
18,Chennai Super Kings,14,7,7,0,0,14,0,2285/271.1,2257/276.5,0.274,1.0,WLWLW,3,2010
19,Royal Challengers Bangalore,14,7,7,0,0,14,0,2166/260.4,2245/277.3,0.219,1.0,LWLWL,4,2010
20,Delhi Capitals,14,7,7,0,0,14,0,2155/275.4,2166/277.5,0.021,0.0,LWLLL,5,2010
21,Kolkata Knight Riders,14,7,7,0,0,14,0,2144/273,2192/267.3,-0.341,0.0,WWLLW,6,2010
22,Rajasthan Royals,14,6,8,0,0,12,0,2179/270.4,2224/259.4,-0.514,0.0,LLLWW,7,2010
23,Punjab Kings,14,4,10,0,0,8,0,2278/276.2,2365/271.1,-0.478,0.0,LLWWL,8,2010
24,Royal Challengers Bangalore,14,9,4,0,1,19,0,1962/237,2000/251.3,0.326,1.0,WLWWW,1,2011
25,Chennai Super Kings,14,9,5,0,0,18,0,2118/265.1,1978/262.1,0.443,1.0,LWWWL,2,2011
26,Mumbai Indians,14,9,5,0,0,18,0,1998/275.2,1951/270.2,0.04,1.0,WLLLW,3,2011
27,Kolkata Knight Riders,14,8,6,0,0,16,0,1888/249.2,1861/260.4,0.433,1.0,LWLWL,4,2011
28,Punjab Kings,14,7,7,0,0,14,0,2224/275.4,2173/267.4,-0.051,0.0,LWWWW,5,2011
29,Rajasthan Royals,14,6,7,0,1,13,0,1687/242.2,1801/235.2,-0.691,0.0,WLLLL,6,2011
30,Deccan Chargers,14,6,8,0,0,12,0,2140/279.2,2037/273.5,0.222,0.0,WWWLL,7,2011
31,Kochi Tuskers Kerala,14,6,8,0,0,12,0,1901/256.2,1989/260.4,-0.214,0.0,LWLLW,8,2011
32,Pune Warriors India,14,4,9,0,1,9,0,1775/247.3,1858/254.2,-0.134,0.0,NLLWW,9,2011
33,Delhi Capitals,14,4,9,0,1,9,0,2031/258.2,2076/249.5,-0.448,0.0,NLLLW,10,2011
34,Delhi Capitals,16,11,5,0,0,22,0,2365/283.5,2361/306,0.617,1.0,WLWLW,1,2012
35,Kolkata Knight Riders,16,10,5,0,1,21,0,2150/285.1,2032/291.1,0.561,1.0,WWLLW,2,2012
36,Mumbai Indians,16,10,6,0,0,20,0,2313/312.3,2343/312.2,-0.1,1.0,WLWWL,3,2012
37,Chennai Super Kings,16,8,7,0,1,17,0,2232/293.3,2144/285.4,0.1,1.0,LWWWL,4,2012
38,Royal Challengers Bangalore,16,8,7,0,1,17,0,2472/296.2,2505/299.3,-0.022,0.0,LWLWW,5,2012
39,Punjab Kings,16,8,8,0,0,16,0,2390/313.3,2455/313.1,-0.216,0.0,LWLWW,6,2012
40,Rajasthan Royals,16,7,9,0,0,14,0,2516/316,2402/309.3,0.201,0.0,LLWLW,7,2012
41,Deccan Chargers,16,4,11,0,1,9,0,2312/298.4,2405/291.3,-0.509,0.0,WWLLL,8,2012
42,Pune Warriors India,16,4,12,0,0,8,0,2321/319.2,2424/310,-0.551,0.0,LLLLLL,9,2012
43,Chennai Super Kings,16,11,5,0,0,22,0,2461/303.5,2310/305.1,0.53,1.0,LWLWL,1,2013
44,Mumbai Indians,16,11,5,0,0,22,0,2514/318.1,2350/315,0.441,1.0,LWWWW,2,2013
45,Rajasthan Royals,16,10,6,0,0,20,0,2405/310.5,2326/313.4,0.322,1.0,LLWWW,3,2013
46,Sunrisers Hyderabad,16,10,6,0,0,20,0,2166/308.5,2206/314.4,0.003,1.0,WWLWL,4,2013
47,Royal Challengers Bangalore,16,9,7,0,0,18,0,2571/301,2451/303.1,0.457,0.0,WLLWL,5,2013
48,Punjab Kings,16,8,8,0,0,16,0,2428/305.2,2417/312.5,0.226,0.0,WWWLL,6,2013
49,Kolkata Knight Riders,16,6,10,0,0,12,0,2290/313.4,2316/313.1,-0.095,0.0,LLWWL,7,2013
50,Pune Warriors India,16,4,12,0,0,8,0,2262/318.4,2519/310.5,-1.006,0.0,WWLLL,8,2013
51,Delhi Capitals,16,3,13,0,0,6,0,2234/314.5,2436/306.4,-0.848,0.0,LLLLLL,9,2013
52,Punjab Kings,14,11,3,0,0,22,0,2427/268.3,2229/276.1,0.968,1.0,WWLWW,1,2014
53,Kolkata Knight Riders,14,9,5,0,0,18,0,2125/264,2110/276.3,0.418,1.0,WWWWW,2,2014
54,Chennai Super Kings,14,9,5,0,0,18,0,2272/272,2178/273.2,0.385,1.0,WLLLW,3,2014
55,Mumbai Indians,14,7,7,0,0,14,0,2180/271.3,2170/273.3,0.095,1.0,WWWWL,4,2014
56,Rajasthan Royals,14,7,7,0,0,14,0,2155/269.5,2164/273,0.06,0.0,LLLWL,5,2014
57,Sunrisers Hyderabad,14,6,8,0,0,12,0,2102/263.4,2136/255.1,-0.399,0.0,LWWLL,6,2014
58,Royal Challengers Bangalore,14,5,9,0,0,10,0,2093/273.5,2163/268,-0.428,0.0,LLLWW,7,2014
59,Delhi Capitals,14,2,12,0,0,4,0,1980/263.2,2184/251,-1.182,0.0,LLLLLL,8,2014
60,Chennai Super Kings,14,9,5,0,0,18,0,2262/273.3,2073/274.1,0.709,1.0,WLWLW,1,2015
61,Mumbai Indians,14,8,6,0,0,16,0,2345/272.4,2371/274.2,-0.043,1.0,WWLWW,2,2015
62,Royal Challengers Bangalore,14,7,5,0,2,16,0,1790/191.1,1693/203.2,1.037,1.0,NWLWW,3,2015
63,Rajasthan Royals,14,7,5,0,2,16,0,2028/237.3,2002/236.1,0.062,1.0,WLLWL,4,2015
64,Kolkata Knight Riders,14,7,6,0,1,15,0,2044/236.1,2022/240.4,0.253,0.0,LLWWW,5,2015
65,Sunrisers Hyderabad,14,7,7,0,0,14,0,2096/255.2,2126/251.4,-0.239,0.0,LLWWW,6,2015
66,Delhi Capitals,14,5,8,0,1,11,0,1981/250.2,1976/248.1,-0.049,0.0,NWLLL,7,2015
67,Punjab Kings,14,3,11,0,0,6,0,2003/270,2286/258.1,-1.436,0.0,LWLLL,8,2015
68,Gujarat Lions,14,9,5,0,0,18,0,2130/264.3,2285/271.1,-0.374,1.0,WWLWL,1,2016
69,Royal Challengers Bangalore,14,8,6,0,0,16,0,2613/270.2,2345/268.3,0.932,1.0,WWWWL,2,2016
70,Sunrisers Hyderabad,14,8,6,0,0,16,0,2082/259.5,2078/267.3,0.245,1.0,LLWLW,3,2016
71,Kolkata Knight Riders,14,8,6,0,0,16,0,2123/253.2,2121/256.2,0.106,1.0,WLLWL,4,2016
72,Mumbai Indians,14,7,7,0,0,14,0,2194/272.2,2190/267,-0.146,0.0,LWLWL,5,2016
73,Delhi Capitals,14,7,7,0,0,14,0,2040/259.1,2107/262.3,-0.155,0.0,LWLLW,6,2016
74,Rising Pune Supergiant,14,5,9,0,0,10,0,2025/244.5,1991/241.1,0.015,0.0,WWLLL,7,2016
75,Punjab Kings,14,4,10,0,0,8,0,2134/269.4,2224/259.5,-0.646,0.0,LLLWL,8,2016
76,Mumbai Indians,14,10,4,0,0,20,0,2407/272.1,2242/278.1,0.784,1.0,WLLWW,1,2017
77,Rising Pune Supergiant,14,9,5,0,0,18,0,2180/271,2165/275.1,0.176,1.0,WLWWW,2,2017
78,Sunrisers Hyderabad,14,8,5,0,1,17,0,2221/252,2118/257.5,0.599,1.0,WWLLW,3,2017
79,Kolkata Knight Riders,14,8,6,0,0,16,0,2329/260.5,2300/277.3,0.641,1.0,LLWLL,4,2017
80,Punjab Kings,14,7,7,0,0,14,0,2207/261.2,2229/263.4,-0.009,0.0,LWWLW,5,2017
81,Delhi Capitals,14,6,8,0,0,12,0,2219/276.2,2255/264,-0.512,0.0,LWWLW,6,2017
82,Gujarat Lions,14,4,10,0,0,8,0,2406/269.5,2472/265,-0.412,0.0,LLWLL,7,2017
83,Royal Challengers Bangalore,14,3,10,0,1,7,0,1845/260,2033/242.1,-1.299,0.0,WLLLL,8,2017
84,Sunrisers Hyderabad,14,9,5,0,0,18,0,2230/273.3,2193/278.4,0.284,1.0,LLLWW,1,2018
85,Chennai Super Kings,14,9,5,0,0,18,0,2488/275.3,2433/277.1,0.253,1.0,WLWLW,2,2018
86,Kolkata Knight Riders,14,8,6,0,0,16,0,2363/265.1,2425/270,-0.07,1.0,WWWLL,3,2018
87,Rajasthan Royals,14,7,7,0,0,14,0,2130/255.3,2141/249.2,-0.25,1.0,WLWWW,4,2018
88,Mumbai Indians,14,6,8,0,0,12,0,2380/278.4,2282/277.3,0.317,0.0,LWLWW,5,2018
89,Royal Challengers Bangalore,14,6,8,0,0,12,0,2322/264.4,2383/275.4,0.129,0.0,LWWWL,6,2018
90,Punjab Kings,14,6,8,0,0,12,0,2210/268.4,2259/258.5,-0.502,0.0,LLLLL,7,2018
91,Delhi Captials,14,5,9,0,0,10,0,2297/258,2304/252.3,-0.222,0.0,WWLLL,8,2018
92,Mumbai Indians,14,9,5,0,0,18,0,2380/275.1,2282/277.2,0.421,1.0,WWLWL,1,2019
93,Chennai Super Kings,14,9,5,0,0,18,0,2043/274.1,2012/274.5,0.131,1.0,LWLWL,2,2019
94,Delhi Capitals,14,9,5,0,0,18,0,2207/272.5,2238/278.1,0.044,1.0,WLWWW,3,2019
95,Sunrisers Hyderabad,14,6,8,0,0,12,0,2288/269.2,2200/277.5,0.577,1.0,LLWLL,4,2019
96,Kolkata Knight Riders,14,6,8,0,0,12,0,2466/270.4,2419/266.2,0.028,0.0,LWWLL,5,2019
97,Punjab Kings,14,6,8,0,0,12,0,2429/276.3,2503/277,-0.251,0.0,WLLLL,6,2019
98,Rajasthan Royals,14,5,8,0,1,11,0,2153/257,2192/248.2,-0.449,0.0,LNWWL,7,2019
99,Royal Challengers Bangalore,14,5,8,0,1,11,0,2146/258.4,2266/254.3,-0.607,0.0,WNLWW,8,2019
100,Mumbai Indians,14,9,5,0,0,18,0,2378/262.2,2187/274.5,1.107,1.0,LWWLW,1,2020
101,Delhi Capitals,14,8,6,0,0,16,0,2289/278.5,2271/273,-0.109,1.0,WLLLL,2,2020
102,Sunrisers Hyderabad,14,7,7,0,0,14,0,2225/269.3,2125/277.5,0.608,1.0,WWWLW,3,2020
103,Royal Challengers Bangalore,14,7,7,0,0,14,0,2147/272.2,2183/271,-0.172,1.0,LLLLW,4,2020
104,Kolkata Knight Riders,14,7,7,0,0,14,0,2219/278,2206/269.1,-0.214,0.0,WLLWL,5,2020
105,Punjab Kings,14,6,8,0,0,12,0,2335/277.5,2343/273.3,-0.162,0.0,LLWWW,6,2020
106,Chennai Super Kings,14,6,8,0,0,12,0,2191/274.3,2275/269.4,-0.455,0.0,WWWLL,7,2020
107,Rajasthan Royals,14,6,8,0,0,12,0,2288/272.4,2482/277,-0.569,0.0,LWWLW,8,2020
108,Delhi Capitals,14,10,4,0,0,20,0,2180/267,2136/278,0.481,1.0,LWWLW,1,2021
109,Chennai Super Kings,14,9,5,0,0,18,0,2368/272,2218/268.5,0.455,1.0,LLLWW,2,2021
110,Royal Challengers Bangalore,14,9,5,0,0,18,0,2165/273.4,2159/268.1,-0.14,1.0,WLWWW,3,2021
111,Kolkata Knight Riders,14,7,7,0,0,14,0,2119/259.5,2080/274.5,0.587,1.0,WWLWL,4,2021
112,Mumbai Indians,14,7,7,0,0,14,0,2117/265.5,2128/271.1,0.116,0.0,WWLWL,5,2021
113,Punjab Kings,14,6,8,0,0,12,0,2150/270.1,2117/266,-0.001,0.0,WLWLW,6,2021
114,Rajasthan Royals,14,5,9,0,0,10,0,2196/276,2318/259,-0.993,0.0,LLWLL,7,2021
115,Sunrisers Hyderabad,14,3,11,0,0,6,0,2077/277.1,2216/275.4,-0.545,0.0,LWLLW,8,2021
116,Gujarat Titans,14,10,4,0,0,20,0,2339/278.1,2216/273.5,0.316,1.0,"L,L,W,W,L",1,2022
117,Rajasthan Royals,14,9,5,0,0,18,0,2464/279.2,2351/275.5,0.298,1.0,"L,W,L,W,W",2,2022
118,Lucknow Super Giants,14,9,5,0,0,18,0,2355/279.1,2289/279.4,0.251,1.0,"W,W,L,L,W",3,2022
119,Royal Challengers Bangalore,14,8,6,0,0,16,0,2268/275.4,2260/266.3,-0.253,1.0,"L,W,W,L,W",4,2022
120,Delhi Capitals,14,7,7,0,0,14,0,2341/266.0,2397/278.5,0.204,0.0,"W,L,W,W,L",5,2022
121,Punjab Kings,14,7,7,0,0,14,0,2343/270.1,2252/263.3,0.126,0.0,"W,L,W,L,W",6,2022
122,Kolkata Knight Riders,14,6,8,0,0,12,0,2223/268.1,2249/276.1,0.146,0.0,"W,L,W,W,L",7,2022
123,Sunrisers Hyderabad,14,6,8,0,0,12,0,2197/261.3,2416/275.1,-0.379,0.0,"L,L,L,W,L",8,2022
124,Chennai Super Kings,14,4,10,0,0,8,0,2288/280.0,2254/269.1,-0.203,0.0,"L,W,L,L,L",9,2022
125,Mumbai Indians,14,4,10,0,0,8,0,2217/273.2,2351/272.5,-0.506,0.0,"W,L,W,L,W",10,2022
126,Gujarat Titans,14,10,4,0,0,20,0,2450/268.1,2326/279.2,0.809,1.0,"W,W,L,W,W",1,2023
127,Chennai Super Kings,14,8,5,0,1,17,0,2369/254.3,2232/257.5,0.652,1.0,"N,W,W,L,W",2,2023
128,Lucknow Super Giants,14,8,5,0,1,17,0,2253/255.2,2216/259.3,0.284,1.0,"N,L,W,W,W",3,2023
129,Mumbai Indians,14,8,6,0,0,16,0,2592/270.3,2620/272.1,-0.044,1.0,"L,W,W,L,W",4,2023
130,Rajasthan Royals,14,7,7,0,0,14,0,2419/272.1,2389/273.2,0.148,0.0,"L,L,W,L,W",5,2023
131,Royal Challengers Bangalore,14,7,7,0,0,14,0,2502/275.4,2435/272.2,0.135,0.0,"L,L,W,W,L",6,2023
132,Kolkata Knight Riders,14,6,8,0,0,12,0,2463/274.3,2432/264.0,-0.239,0.0,"W,W,L,W,L",7,2023
133,Punjab Kings,14,6,8,0,0,12,0,2518/275.3,2564/271.3,-0.304,0.0,"L,L,W,L,L",8,2023
134,Delhi Capitals,14,5,9,0,0,10,0,2182/276.0,2424/278.1,-0.808,0.0,"W,L,L,W,L",9,2023
135,Sunrisers Hyderabad,14,4,10,0,0,8,0,2376/277.1,2486/271.2,-0.59,0.0,"W,L,L,L,L",10,2023
